study_id,reviewer,outcome,sub-outcome,form,timepoint,reported_time,intervention,group_name,mean,SD,Total,median,IQR Q1,IQR Q3,range Min,range Max
Vivas-Rosales 2018,O'Neil Green,annual rate of exacerbations,,Reviewer 1,End of study,,NCFB,,,,23,,,,,
Vivarelli 2021,O'Neil Green,annual rate of hospitalizations,,Reviewer 1,End of study,,NCFB,,0.37,0.77,,,,,,
Vivarelli 2021,O'Neil Green,annual rate of exacerbations,,Reviewer 1,End of study,,NCFB,,3.9,3.5,,,,,,
Sperlich 2022,O'Neil Green,yearly FEV1 decline,,Reviewer 1,End of study,,NCFB,,,,,-25,-10,-43,,
Sperlich 2022,O'Neil Green,QoL (Physical health),,Reviewer 1,End of study,,NCFB,,,,,26,15,46,,
Nepesov 2020,O'Neil Green,annual rate of hospitalizations,,Reviewer 1,End of study,,NCFB,,,,32,,,,,
Klemann 2019,O'Neil Green,QoL (Physical health),,Reviewer 1,End of study,,NCFB,,61.51,27.6,,,,,,
Klemann 2019,O'Neil Green,QoL (psychological),,Reviewer 1,End of study,,NCFB,,79.46,11.49,,,,,,
Karabiber 2024,O'Neil Green,annual rate of hospitalizations,,Reviewer 1,End of study,,NCFB,,,,18,,,,,
Gregersen 2010,O'Neil Green,yearly FEV1 decline,,Reviewer 1,End of study,,NCFB,,-0.03,0.02,,,,,,
Goussault 2019,O'Neil Green,annual rate of hospitalizations,,Reviewer 1,End of study,,NCFB,,9.4,3.7,,,,,,
Goussault 2019,O'Neil Green,annual rate of exacerbations,,Reviewer 1,End of study,,NCFB,,,,,0.8,0.25,1.4,,
Goussault 2019,O'Neil Green,yearly FEV1 decline,,Reviewer 1,End of study,,NCFB,,,,,19.82,16.11,48.6,,
Eden 2019,O'Neil Green,annual rate of hospitalizations,,Reviewer 1,End of study,,NCFB,,0.22,,8,,,,,
Eden 2019,O'Neil Green,annual rate of exacerbations,,Reviewer 1,End of study,,NCFB,,0.31,,11,,,,,
Collet 2026,O'Neil Green,annual rate of hospitalizations,,Reviewer 1,End of study,,NCFB,,2.5,,,,,,,
Chen 2011,O'Neil Green,yearly FEV1 decline,,Reviewer 1,End of study,,NCFB,,45,6,,,,,,
Chalmers 2013,O'Neil Green,annual rate of exacerbations,,Reviewer 1,End of study,,NCFB,,,,,4.2,0.8,7.6,,
Chalmers 2013,O'Neil Green,QoL (Physical health),,Reviewer 1,End of study,,NCFB,,,,,55.4,33.5,87.3,,
Buso 2025,O'Neil Green,yearly FEV1 decline,,Reviewer 1,End of study,,NCFB,,25.6,,,,,,,
Bryan 2016,O'Neil Green,QoL (Physical health),,Reviewer 1,End of study,,NCFB,,,,53,,,,,
Bryan 2016,O'Neil Green,QoL (psychological),,Reviewer 1,End of study,,NCFB,,,,51,,,,,
Ameratunga 2025,O'Neil Green,annual rate of hospitalizations,,Reviewer 1,End of study,,NCFB,,0.14,,,,,,,
Aghamohammadi 2010,O'Neil Green,annual rate of hospitalizations,,Reviewer 1,End of study,,NCFB,,,,,,,,0.58,1.11
